Index,Date,Closing Price
OMXS30,2020-05-28,"1,657.58"
OMXS30,2020-05-29,"1,629.76"
OMXS30,2020-06-01,"1,649.38"
OMXS30,2020-06-02,"1,666.98"
OMXS30,2020-06-03,"1,709.96"
OMXS30,2020-06-04,"1,700.48"
OMXS30,2020-06-05,"1,730.51"
SMI,2020-01-03,"10,699.82"
SMI,2020-01-06,"10,665.41"
SMI,2020-01-07,"10,686.80"
SMI,2020-01-08,"10,652.16"
SMI,2020-01-09,"10,650.97"
SMI,2020-01-10,"10,639.49"
SMI,2020-01-13,"10,622.41"
SMI,2020-01-14,"10,655.82"
SMI,2020-01-15,"10,670.74"
SMI,2020-01-16,"10,693.52"
SMI,2020-01-17,"10,841.82"
SMI,2020-01-20,"10,846.29"
SMI,2020-01-21,"10,884.51"
SMI,2020-01-22,"10,895.07"
SMI,2020-01-23,"10,813.94"
SMI,2020-01-24,"10,849.75"
SMI,2020-01-27,"10,675.96"
SMI,2020-01-28,"10,781.98"
SMI,2020-01-29,"10,859.88"
SMI,2020-01-30,"10,748.92"
SMI,2020-01-31,"10,627.88"
SMI,2020-02-03,"10,664.95"
SMI,2020-02-04,"10,800.64"
SMI,2020-02-05,"10,994.15"
SMI,2020-02-06,"11,012.36"
SMI,2020-02-07,"11,001.53"
SMI,2020-02-10,"11,039.78"
SMI,2020-02-11,"11,101.17"
SMI,2020-02-12,"11,089.24"
SMI,2020-02-13,"11,092.35"
SMI,2020-02-14,"11,128.81"
SMI,2020-02-17,"11,168.45"
SMI,2020-02-18,"11,146.28"
SMI,2020-02-19,"11,263.01"
SMI,2020-02-20,"11,154.53"
SMI,2020-02-21,"11,110.78"
SMI,2020-02-24,"10,712.84"
SMI,2020-02-25,"10,478.51"
SMI,2020-02-26,"10,512.15"
SMI,2020-02-27,"10,205.46"
SMI,2020-02-28,"9,831.03"
SMI,2020-03-02,"9,950.83"
SMI,2020-03-03,"10,087.40"
SMI,2020-03-04,"10,251.39"
SMI,2020-03-05,"10,143.57"
SMI,2020-03-06,"9,736.82"
SMI,2020-03-09,"9,196.60"
SMI,2020-03-10,"9,195.93"
SMI,2020-03-11,"9,152.50"
SMI,2020-03-12,"8,270.44"
SMI,2020-03-13,"8,367.56"
SMI,2020-03-16,"8,227.08"
SMI,2020-03-17,"8,493.04"
SMI,2020-03-18,"8,338.74"
SMI,2020-03-19,"8,782.24"
SMI,2020-03-20,"8,623.86"
SMI,2020-03-23,"8,160.79"
SMI,2020-03-24,"8,733.32"
SMI,2020-03-25,"8,989.16"
SMI,2020-03-26,"9,203.98"
SMI,2020-03-27,"8,996.37"
SMI,2020-03-30,"9,174.39"
SMI,2020-03-31,"9,311.92"
SMI,2020-04-01,"9,168.98"
SMI,2020-04-02,"9,270.96"
SMI,2020-04-03,"9,242.44"
SMI,2020-04-06,"9,462.34"
SMI,2020-04-07,"9,514.60"
SMI,2020-04-08,"9,432.39"
SMI,2020-04-09,"9,452.83"
SMI,2020-04-14,"9,538.61"
SMI,2020-04-15,"9,320.20"
SMI,2020-04-16,"9,439.91"
SMI,2020-04-17,"9,612.83"
SMI,2020-04-20,"9,785.27"
SMI,2020-04-21,"9,547.85"
SMI,2020-04-22,"9,630.56"
SMI,2020-04-23,"9,625.48"
SMI,2020-04-24,"9,625.65"
SMI,2020-04-27,"9,758.82"
SMI,2020-04-28,"9,889.46"
SMI,2020-04-29,"9,865.32"
SMI,2020-04-30,"9,629.40"
SMI,2020-05-04,"9,390.27"
SMI,2020-05-05,"9,512.17"
SMI,2020-05-06,"9,571.70"
SMI,2020-05-07,"9,617.98"
SMI,2020-05-08,"9,665.35"
SMI,2020-05-11,"9,689.71"
SMI,2020-05-12,"9,733.53"
SMI,2020-05-13,"9,631.62"
SMI,2020-05-14,"9,448.14"
SMI,2020-05-15,"9,483.10"
SMI,2020-05-18,"9,740.77"
SMI,2020-05-19,"9,764.23"
SMI,2020-05-20,"9,790.85"
SMI,2020-05-22,"9,688.99"
SMI,2020-05-25,"9,824.54"
SMI,2020-05-26,"9,830.83"
SMI,2020-05-27,"9,716.52"
SMI,2020-05-28,"9,926.03"
SMI,2020-05-29,"9,831.49"
SMI,2020-06-02,"9,951.45"
SMI,2020-06-03,"10,183.77"
SMI,2020-06-04,"10,075.68"
SMI,2020-06-05,"10,190.37"
BOVESPA,2020-01-02,"118,980.00"
BOVESPA,2020-01-03,"118,560.00"
BOVESPA,2020-01-06,"117,265.00"
BOVESPA,2020-01-07,"117,115.00"
BOVESPA,2020-01-08,"116,505.00"
BOVESPA,2020-01-09,"116,360.00"
BOVESPA,2020-01-10,"115,725.00"
BOVESPA,2020-01-13,"117,775.00"
BOVESPA,2020-01-14,"117,880.00"
BOVESPA,2020-01-15,"116,755.00"
BOVESPA,2020-01-16,"116,980.00"
